user_name,age_type,gender,life_event,children,years_of_experience,characteristics,desired_income
john2854,<25,Male,Major Illness/Disability,4,31,Responsibility and Carefulness;Patience,> 50tr
brian9523,>60,Female,Retirement,4,40,Loving and caring nature;Responsibility and Carefulness,10tr - 30tr
drew7584,25-30,Female,Retirement,4,2,Communication skills;Patience;Loving and caring nature,> 50tr
ryan2165,45-50,Female,Starting a Career,1,19,Loving and caring nature;Communication skills;Patience,> 50tr
dorothy4602,<25,Female,Losing a Job,4,4,Loving and caring nature;Patience,> 50tr
johnny9679,>60,Female,Starting a Career,0,28,Loving and caring nature;Patience;Responsibility and Carefulness,> 50tr
andrew5014,<25,Male,Getting Married,3,11,Patience;Responsibility and Carefulness,< 10tr
sarah2862,30-45,Male,Getting Married,0,14,Loving and caring nature;Patience;Communication skills,10tr - 30tr
kelsey5215,50-60,Female,Starting a Career,4,0,Patience;Communication skills;Responsibility and Carefulness,10tr - 30tr
cheryl2864,<25,Female,Getting Married,2,1,Patience;Communication skills,< 10tr
christopher7110,>60,Female,Starting a Career,4,1,Communication skills;Responsibility and Carefulness;Patience,> 50tr
matthew6332,30-45,Male,Getting Married,0,0,Responsibility and Carefulness;Communication skills,> 50tr
william6835,30-45,Female,Getting Married,1,26,Patience;Communication skills;Loving and caring nature,10tr - 30tr
justin6028,>60,Male,Losing a Job,1,38,Patience;Communication skills;Responsibility and Carefulness,10tr - 30tr
amber7571,30-45,Male,Getting Married,3,30,Responsibility and Carefulness;Patience;Loving and caring nature,> 50tr
sonia8192,>60,Female,Starting a Career,4,9,Loving and caring nature;Patience,10tr - 30tr
deanna7653,>60,Female,Major Illness/Disability,4,22,Communication skills;Loving and caring nature,30tr - 50tr
taylor6027,<25,Male,Major Illness/Disability,0,36,Patience;Communication skills,> 50tr
miguel2055,30-45,Male,Losing a Job,1,12,Loving and caring nature;Communication skills,> 50tr
jacob2902,25-30,Male,Starting a Career,5,40,Loving and caring nature;Responsibility and Carefulness,> 50tr
evan9951,50-60,Male,Retirement,2,9,Responsibility and Carefulness;Communication skills;Patience,30tr - 50tr
abigail3813,30-45,Male,Losing a Job,5,33,Loving and caring nature;Patience;Responsibility and Carefulness,10tr - 30tr
sara8941,>60,Male,Starting a Career,4,32,Loving and caring nature;Responsibility and Carefulness;Communication skills,< 10tr
john1015,30-45,Male,Starting a Career,3,4,Loving and caring nature;Responsibility and Carefulness,> 50tr
sergio2603,<25,Female,Losing a Job,4,14,Patience;Responsibility and Carefulness;Communication skills,> 50tr
tracy4717,>60,Female,Getting Married,2,19,Patience;Responsibility and Carefulness,> 50tr
rose8661,>60,Female,Retirement,1,2,Loving and caring nature;Communication skills;Patience,10tr - 30tr
adrian6281,>60,Male,Getting Married,5,39,Patience;Loving and caring nature;Communication skills,< 10tr
jesse7518,30-45,Male,Major Illness/Disability,5,39,Loving and caring nature;Responsibility and Carefulness,> 50tr
sheri3059,30-45,Male,Losing a Job,4,11,Patience;Loving and caring nature,10tr - 30tr
tara3845,<25,Female,Major Illness/Disability,5,33,Loving and caring nature;Responsibility and Carefulness,> 50tr
tammy7665,>60,Male,Retirement,1,32,Patience;Loving and caring nature,< 10tr
debra6532,50-60,Female,Getting Married,4,21,Loving and caring nature;Responsibility and Carefulness,> 50tr
david8047,<25,Male,Losing a Job,5,37,Patience;Loving and caring nature;Responsibility and Carefulness,< 10tr
andrew9063,45-50,Female,Losing a Job,0,42,Patience;Loving and caring nature,> 50tr
anna5299,<25,Male,Retirement,2,43,Communication skills;Patience,30tr - 50tr
robert3018,>60,Female,Starting a Career,5,10,Patience;Loving and caring nature;Communication skills,> 50tr
mary5559,45-50,Male,Retirement,3,27,Loving and caring nature;Patience,30tr - 50tr
joan8832,<25,Male,Retirement,0,16,Responsibility and Carefulness;Loving and caring nature,10tr - 30tr
daniel4316,25-30,Female,Retirement,4,49,Communication skills;Responsibility and Carefulness;Patience,> 50tr
kenneth8708,30-45,Male,Retirement,0,29,Patience;Loving and caring nature;Communication skills,> 50tr
samantha3998,<25,Male,Getting Married,1,24,Responsibility and Carefulness;Loving and caring nature;Patience,> 50tr
joseph9556,<25,Female,Starting a Career,2,27,Patience;Communication skills;Responsibility and Carefulness,> 50tr
jennifer1789,25-30,Male,Starting a Career,4,9,Responsibility and Carefulness;Communication skills,> 50tr
timothy2073,30-45,Female,Starting a Career,3,10,Patience;Responsibility and Carefulness,10tr - 30tr
patricia1202,30-45,Male,Retirement,3,16,Loving and caring nature;Communication skills,> 50tr
keith5047,>60,Female,Starting a Career,0,4,Loving and caring nature;Responsibility and Carefulness,10tr - 30tr
allison8566,30-45,Female,Starting a Career,1,8,Loving and caring nature;Communication skills;Responsibility and Carefulness,> 50tr
ryan1787,>60,Female,Starting a Career,0,14,Responsibility and Carefulness;Patience,30tr - 50tr
ronald1979,>60,Female,Getting Married,3,1,Patience;Communication skills,> 50tr
ana8256,<25,Female,Starting a Career,0,31,Responsibility and Carefulness;Patience;Communication skills,30tr - 50tr
ian4892,<25,Male,Retirement,1,34,Communication skills;Patience,30tr - 50tr
phillip9905,<25,Female,Losing a Job,4,8,Patience;Responsibility and Carefulness;Communication skills,> 50tr
michael7139,50-60,Male,Losing a Job,5,26,Patience;Responsibility and Carefulness,> 50tr
nicholas7014,>60,Male,Retirement,0,3,Loving and caring nature;Patience,> 50tr
loretta8331,>60,Male,Retirement,3,2,Patience;Communication skills;Responsibility and Carefulness,30tr - 50tr
john5528,<25,Female,Retirement,4,12,Communication skills;Responsibility and Carefulness;Loving and caring nature,30tr - 50tr
beth7414,50-60,Female,Major Illness/Disability,5,37,Responsibility and Carefulness;Loving and caring nature,> 50tr
william5900,>60,Male,Getting Married,2,44,Patience;Loving and caring nature;Communication skills,< 10tr
travis1297,<25,Male,Major Illness/Disability,2,28,Patience;Responsibility and Carefulness;Communication skills,10tr - 30tr
gordon4435,>60,Male,Retirement,0,38,Loving and caring nature;Responsibility and Carefulness,> 50tr
nicholas7703,>60,Male,Starting a Career,4,15,Communication skills;Responsibility and Carefulness,> 50tr
tiffany1260,50-60,Male,Major Illness/Disability,4,15,Responsibility and Carefulness;Loving and caring nature;Patience,> 50tr
james7203,>60,Female,Getting Married,5,11,Patience;Communication skills,> 50tr
michelle2326,50-60,Female,Getting Married,2,30,Patience;Loving and caring nature;Communication skills,> 50tr
megan7214,<25,Female,Starting a Career,0,4,Loving and caring nature;Patience;Communication skills,> 50tr
william8073,<25,Female,Getting Married,2,3,Responsibility and Carefulness;Patience,< 10tr
alexis5688,45-50,Female,Major Illness/Disability,0,11,Loving and caring nature;Communication skills;Responsibility and Carefulness,10tr - 30tr
matthew3569,30-45,Male,Retirement,2,0,Loving and caring nature;Responsibility and Carefulness;Communication skills,< 10tr
amber7921,50-60,Male,Starting a Career,5,16,Loving and caring nature;Responsibility and Carefulness,> 50tr
james8460,>60,Female,Major Illness/Disability,2,45,Communication skills;Responsibility and Carefulness;Patience,30tr - 50tr
shawn1747,50-60,Male,Losing a Job,1,15,Patience;Loving and caring nature;Communication skills,30tr - 50tr
ann7317,<25,Male,Major Illness/Disability,4,20,Loving and caring nature;Communication skills,10tr - 30tr
tiffany3387,45-50,Female,Retirement,2,12,Communication skills;Loving and caring nature;Patience,10tr - 30tr
jennifer5880,50-60,Male,Starting a Career,5,12,Responsibility and Carefulness;Patience,> 50tr
jon2408,<25,Female,Getting Married,1,11,Communication skills;Loving and caring nature;Responsibility and Carefulness,30tr - 50tr
ryan3210,>60,Female,Starting a Career,3,34,Loving and caring nature;Patience;Responsibility and Carefulness,> 50tr
mark6305,25-30,Female,Starting a Career,2,45,Responsibility and Carefulness;Communication skills;Loving and caring nature,10tr - 30tr
laura6866,<25,Female,Losing a Job,4,18,Responsibility and Carefulness;Loving and caring nature,> 50tr
laura1322,<25,Male,Retirement,2,33,Responsibility and Carefulness;Communication skills,10tr - 30tr
chelsea1782,>60,Female,Major Illness/Disability,1,35,Patience;Responsibility and Carefulness,10tr - 30tr
william1278,<25,Female,Starting a Career,0,12,Responsibility and Carefulness;Patience;Loving and caring nature,> 50tr
paula1253,<25,Female,Major Illness/Disability,1,38,Communication skills;Loving and caring nature,10tr - 30tr
michael7174,>60,Male,Starting a Career,3,11,Loving and caring nature;Responsibility and Carefulness;Communication skills,30tr - 50tr
michael4551,30-45,Male,Losing a Job,5,16,Responsibility and Carefulness;Patience,10tr - 30tr
antonio6687,50-60,Female,Retirement,4,21,Communication skills;Responsibility and Carefulness;Loving and caring nature,< 10tr
jerome5186,<25,Male,Retirement,0,37,Patience;Loving and caring nature,> 50tr
debra7222,45-50,Male,Major Illness/Disability,0,15,Communication skills;Patience;Loving and caring nature,10tr - 30tr
hannah4857,45-50,Female,Starting a Career,4,12,Responsibility and Carefulness;Patience;Loving and caring nature,10tr - 30tr
amy4775,30-45,Female,Retirement,3,10,Loving and caring nature;Responsibility and Carefulness,10tr - 30tr
samantha9317,<25,Male,Major Illness/Disability,3,27,Loving and caring nature;Responsibility and Carefulness,10tr - 30tr
angela6188,<25,Female,Getting Married,1,39,Loving and caring nature;Responsibility and Carefulness,> 50tr
john9984,>60,Male,Major Illness/Disability,1,15,Communication skills;Patience;Loving and caring nature,> 50tr
gina8800,<25,Female,Getting Married,0,23,Patience;Loving and caring nature;Responsibility and Carefulness,> 50tr
michael8330,<25,Female,Retirement,3,27,Patience;Loving and caring nature;Responsibility and Carefulness,< 10tr
amy7974,>60,Male,Major Illness/Disability,4,14,Responsibility and Carefulness;Loving and caring nature;Communication skills,> 50tr
brent9042,<25,Female,Losing a Job,4,42,Loving and caring nature;Patience,10tr - 30tr
donna1492,>60,Female,Getting Married,4,32,Loving and caring nature;Communication skills,> 50tr
daniel1060,25-30,Female,Getting Married,5,28,Communication skills;Patience;Loving and caring nature,30tr - 50tr
carrie9975,>60,Female,Getting Married,5,23,Patience;Communication skills;Responsibility and Carefulness,10tr - 30tr
jason1272,<25,Male,Major Illness/Disability,3,2,Loving and caring nature;Responsibility and Carefulness;Patience,30tr - 50tr
jennifer1185,>60,Female,Starting a Career,2,1,Communication skills;Responsibility and Carefulness;Patience,> 50tr
colin8768,>60,Female,Losing a Job,4,7,Responsibility and Carefulness;Loving and caring nature,> 50tr
albert5326,>60,Male,Starting a Career,4,48,Communication skills;Patience;Responsibility and Carefulness,10tr - 30tr
lisa6134,>60,Male,Starting a Career,3,22,Loving and caring nature;Communication skills,> 50tr
rebecca4345,<25,Female,Losing a Job,5,8,Loving and caring nature;Communication skills,30tr - 50tr
john6243,>60,Female,Starting a Career,2,26,Loving and caring nature;Patience,10tr - 30tr
lauren6006,>60,Male,Starting a Career,0,27,Communication skills;Loving and caring nature,< 10tr
kevin7977,>60,Female,Getting Married,3,7,Responsibility and Carefulness;Patience,> 50tr
dennis2854,30-45,Male,Retirement,5,37,Patience;Loving and caring nature;Communication skills,30tr - 50tr
melanie1613,<25,Female,Major Illness/Disability,4,35,Communication skills;Patience,30tr - 50tr
john4843,<25,Male,Retirement,3,27,Loving and caring nature;Responsibility and Carefulness,10tr - 30tr
angela7301,>60,Female,Losing a Job,1,5,Patience;Responsibility and Carefulness;Communication skills,> 50tr
kimberly6499,>60,Male,Losing a Job,0,22,Communication skills;Loving and caring nature,> 50tr
jenna9203,30-45,Male,Major Illness/Disability,0,25,Communication skills;Patience,> 50tr
jason8287,>60,Female,Retirement,3,33,Patience;Responsibility and Carefulness,< 10tr
danny7281,50-60,Male,Starting a Career,2,45,Patience;Responsibility and Carefulness,< 10tr
stacy9207,>60,Male,Retirement,2,3,Communication skills;Responsibility and Carefulness;Loving and caring nature,30tr - 50tr
james7751,30-45,Male,Retirement,0,40,Patience;Loving and caring nature;Responsibility and Carefulness,10tr - 30tr
nathan5546,<25,Male,Starting a Career,3,22,Loving and caring nature;Responsibility and Carefulness;Patience,< 10tr
harry3992,<25,Male,Major Illness/Disability,0,32,Communication skills;Responsibility and Carefulness;Loving and caring nature,10tr - 30tr
andrea3033,>60,Female,Losing a Job,3,20,Patience;Communication skills;Responsibility and Carefulness,10tr - 30tr
noah4033,45-50,Female,Getting Married,1,34,Responsibility and Carefulness;Patience;Loving and caring nature,10tr - 30tr
amber1915,<25,Female,Major Illness/Disability,3,12,Loving and caring nature;Responsibility and Carefulness;Communication skills,> 50tr
eric6239,>60,Male,Major Illness/Disability,3,19,Loving and caring nature;Responsibility and Carefulness,> 50tr
keith6165,25-30,Female,Retirement,4,17,Responsibility and Carefulness;Communication skills,< 10tr
bridget6619,50-60,Male,Getting Married,0,36,Patience;Loving and caring nature;Responsibility and Carefulness,> 50tr
christine9353,>60,Male,Retirement,5,1,Communication skills;Responsibility and Carefulness,30tr - 50tr
ryan2007,>60,Male,Starting a Career,1,16,Communication skills;Loving and caring nature,30tr - 50tr
michael6424,30-45,Female,Losing a Job,4,36,Patience;Communication skills;Loving and caring nature,10tr - 30tr
daryl5416,45-50,Male,Retirement,3,12,Loving and caring nature;Responsibility and Carefulness,10tr - 30tr
james5549,50-60,Female,Getting Married,4,35,Responsibility and Carefulness;Loving and caring nature,> 50tr
phyllis5941,<25,Female,Retirement,0,22,Communication skills;Responsibility and Carefulness,> 50tr
barbara3915,>60,Male,Major Illness/Disability,1,24,Loving and caring nature;Patience,30tr - 50tr
benjamin1023,30-45,Male,Losing a Job,1,21,Communication skills;Loving and caring nature,10tr - 30tr
john2913,>60,Male,Starting a Career,5,30,Patience;Responsibility and Carefulness;Communication skills,30tr - 50tr
laura6461,<25,Male,Starting a Career,1,42,Communication skills;Loving and caring nature;Responsibility and Carefulness,10tr - 30tr
cheryl4176,<25,Male,Getting Married,3,11,Responsibility and Carefulness;Loving and caring nature,10tr - 30tr
veronica5273,25-30,Male,Major Illness/Disability,1,26,Responsibility and Carefulness;Patience,> 50tr
william2189,25-30,Male,Losing a Job,3,13,Loving and caring nature;Patience,10tr - 30tr
olivia6116,30-45,Male,Losing a Job,0,47,Responsibility and Carefulness;Loving and caring nature;Communication skills,10tr - 30tr
sharon8378,>60,Female,Retirement,2,25,Patience;Responsibility and Carefulness;Loving and caring nature,> 50tr
carla7422,>60,Male,Getting Married,3,20,Responsibility and Carefulness;Communication skills,< 10tr
david1988,<25,Female,Major Illness/Disability,1,11,Communication skills;Patience,< 10tr
gordon1893,>60,Male,Major Illness/Disability,5,46,Communication skills;Responsibility and Carefulness,10tr - 30tr
tina2148,<25,Male,Starting a Career,1,1,Loving and caring nature;Communication skills;Responsibility and Carefulness,> 50tr
justin4430,>60,Female,Losing a Job,2,21,Loving and caring nature;Patience;Communication skills,> 50tr
scott5089,>60,Male,Getting Married,3,19,Patience;Communication skills;Responsibility and Carefulness,> 50tr
robert7240,30-45,Male,Starting a Career,3,39,Patience;Communication skills;Loving and caring nature,> 50tr
joseph5596,>60,Female,Losing a Job,1,3,Communication skills;Responsibility and Carefulness;Loving and caring nature,10tr - 30tr
megan9597,30-45,Female,Major Illness/Disability,0,26,Loving and caring nature;Responsibility and Carefulness;Communication skills,> 50tr
alicia3441,30-45,Male,Retirement,1,40,Loving and caring nature;Patience,> 50tr
lisa9048,>60,Male,Getting Married,0,10,Communication skills;Responsibility and Carefulness;Loving and caring nature,30tr - 50tr
jeremy7326,>60,Female,Retirement,0,13,Loving and caring nature;Patience;Communication skills,> 50tr
bruce7028,30-45,Female,Major Illness/Disability,4,43,Responsibility and Carefulness;Patience,> 50tr
charles8803,50-60,Female,Starting a Career,3,7,Communication skills;Loving and caring nature,> 50tr
patricia3053,<25,Male,Getting Married,5,16,Loving and caring nature;Patience,> 50tr
linda5382,<25,Male,Major Illness/Disability,5,42,Responsibility and Carefulness;Patience;Communication skills,< 10tr
kyle9888,25-30,Female,Losing a Job,2,45,Communication skills;Loving and caring nature,> 50tr
jeffrey9707,30-45,Female,Getting Married,1,21,Responsibility and Carefulness;Patience;Communication skills,30tr - 50tr
katherine5839,>60,Male,Starting a Career,3,39,Communication skills;Loving and caring nature;Patience,30tr - 50tr
denise6951,>60,Female,Getting Married,1,16,Patience;Responsibility and Carefulness;Communication skills,> 50tr
matthew6887,25-30,Male,Losing a Job,4,10,Communication skills;Patience;Responsibility and Carefulness,> 50tr
jacqueline5705,>60,Male,Major Illness/Disability,3,12,Loving and caring nature;Communication skills,> 50tr
jerry5266,50-60,Female,Getting Married,3,6,Loving and caring nature;Responsibility and Carefulness,> 50tr
maria3124,<25,Female,Major Illness/Disability,0,45,Patience;Loving and caring nature;Communication skills,> 50tr
catherine2416,>60,Male,Major Illness/Disability,2,11,Communication skills;Responsibility and Carefulness,< 10tr
julie9803,>60,Male,Getting Married,4,44,Communication skills;Loving and caring nature;Responsibility and Carefulness,< 10tr
megan9057,>60,Female,Major Illness/Disability,1,7,Responsibility and Carefulness;Communication skills,> 50tr
benjamin3183,45-50,Male,Retirement,1,36,Responsibility and Carefulness;Loving and caring nature;Patience,> 50tr
brian4406,<25,Male,Getting Married,3,22,Patience;Responsibility and Carefulness;Communication skills,> 50tr
kevin6271,>60,Female,Starting a Career,0,3,Patience;Responsibility and Carefulness,30tr - 50tr
rebecca1241,50-60,Female,Losing a Job,1,41,Loving and caring nature;Patience,10tr - 30tr
megan5302,30-45,Female,Major Illness/Disability,1,11,Loving and caring nature;Communication skills;Responsibility and Carefulness,10tr - 30tr
katherine4792,45-50,Female,Losing a Job,1,24,Communication skills;Responsibility and Carefulness,> 50tr
justin8019,>60,Female,Getting Married,4,47,Communication skills;Responsibility and Carefulness,10tr - 30tr
angela6099,30-45,Female,Retirement,4,33,Responsibility and Carefulness;Patience;Loving and caring nature,10tr - 30tr
david1753,>60,Female,Major Illness/Disability,4,27,Loving and caring nature;Patience;Responsibility and Carefulness,> 50tr
ashley5193,>60,Male,Major Illness/Disability,4,43,Loving and caring nature;Responsibility and Carefulness,> 50tr
cynthia9655,50-60,Male,Getting Married,3,34,Communication skills;Responsibility and Carefulness;Patience,10tr - 30tr
patricia7731,>60,Male,Getting Married,5,28,Communication skills;Loving and caring nature;Responsibility and Carefulness,> 50tr
jennifer8123,>60,Male,Losing a Job,1,32,Communication skills;Responsibility and Carefulness,10tr - 30tr
evelyn4602,>60,Male,Retirement,2,41,Patience;Communication skills;Responsibility and Carefulness,> 50tr
annette7800,50-60,Male,Retirement,1,36,Communication skills;Loving and caring nature;Responsibility and Carefulness,> 50tr
lynn3884,>60,Female,Losing a Job,4,38,Communication skills;Patience;Loving and caring nature,> 50tr
vickie1667,<25,Male,Getting Married,4,48,Patience;Responsibility and Carefulness,30tr - 50tr
diane6768,>60,Female,Retirement,2,19,Communication skills;Loving and caring nature,30tr - 50tr
calvin4349,50-60,Male,Retirement,4,20,Patience;Responsibility and Carefulness,> 50tr
patrick8500,<25,Female,Major Illness/Disability,4,22,Patience;Communication skills,> 50tr
jennifer7755,>60,Female,Retirement,1,46,Communication skills;Loving and caring nature;Patience,10tr - 30tr
austin6980,<25,Female,Losing a Job,0,16,Responsibility and Carefulness;Communication skills,> 50tr
joshua2520,<25,Female,Starting a Career,4,27,Communication skills;Responsibility and Carefulness;Patience,10tr - 30tr
erica8830,25-30,Male,Retirement,0,20,Communication skills;Loving and caring nature;Responsibility and Carefulness,> 50tr
charles4565,>60,Female,Getting Married,4,20,Patience;Loving and caring nature;Responsibility and Carefulness,10tr - 30tr
matthew4100,50-60,Male,Losing a Job,0,24,Patience;Loving and caring nature,10tr - 30tr
manuel1993,50-60,Female,Losing a Job,1,24,Responsibility and Carefulness;Patience;Communication skills,< 10tr
travis1247,<25,Male,Retirement,4,2,Patience;Loving and caring nature;Responsibility and Carefulness,30tr - 50tr
jasmine8007,>60,Female,Starting a Career,5,34,Responsibility and Carefulness;Communication skills;Loving and caring nature,> 50tr
christine8736,<25,Male,Getting Married,1,50,Responsibility and Carefulness;Communication skills,10tr - 30tr
vincent6508,<25,Male,Major Illness/Disability,1,42,Loving and caring nature;Patience,30tr - 50tr
rebecca6791,<25,Male,Retirement,1,50,Communication skills;Responsibility and Carefulness;Patience,10tr - 30tr
tammy3071,45-50,Female,Getting Married,5,7,Loving and caring nature;Patience;Communication skills,> 50tr
angela9750,>60,Female,Major Illness/Disability,0,7,Loving and caring nature;Patience,30tr - 50tr
lance3142,>60,Female,Losing a Job,4,37,Patience;Loving and caring nature;Responsibility and Carefulness,10tr - 30tr
hunter2760,45-50,Male,Retirement,2,44,Responsibility and Carefulness;Loving and caring nature,30tr - 50tr
stephen6924,<25,Male,Major Illness/Disability,1,13,Communication skills;Responsibility and Carefulness;Patience,> 50tr
christina4247,<25,Female,Retirement,5,27,Loving and caring nature;Responsibility and Carefulness;Patience,10tr - 30tr
michael4499,<25,Male,Major Illness/Disability,0,47,Responsibility and Carefulness;Communication skills,> 50tr
richard8942,<25,Male,Major Illness/Disability,3,30,Communication skills;Patience;Responsibility and Carefulness,10tr - 30tr
timothy7458,50-60,Female,Retirement,1,31,Communication skills;Loving and caring nature;Responsibility and Carefulness,> 50tr
alexander7805,>60,Male,Getting Married,4,29,Communication skills;Responsibility and Carefulness,> 50tr
james4117,>60,Male,Retirement,3,32,Communication skills;Responsibility and Carefulness,10tr - 30tr
joe3678,45-50,Male,Retirement,3,44,Loving and caring nature;Patience,> 50tr
jessica4703,30-45,Female,Retirement,2,40,Communication skills;Loving and caring nature,> 50tr
brandy5321,30-45,Male,Retirement,0,25,Communication skills;Patience,30tr - 50tr
jose5064,45-50,Male,Losing a Job,1,32,Patience;Responsibility and Carefulness,30tr - 50tr
david3094,<25,Male,Getting Married,3,40,Communication skills;Patience;Responsibility and Carefulness,< 10tr
shannon6187,>60,Male,Losing a Job,2,9,Patience;Loving and caring nature,> 50tr
andrew2323,>60,Male,Getting Married,1,20,Loving and caring nature;Communication skills;Responsibility and Carefulness,30tr - 50tr
ronald8122,<25,Male,Major Illness/Disability,3,40,Loving and caring nature;Communication skills,10tr - 30tr
whitney6782,<25,Male,Starting a Career,5,0,Responsibility and Carefulness;Patience;Loving and caring nature,< 10tr
nicole7408,>60,Male,Getting Married,5,32,Communication skills;Patience,> 50tr
ashley5347,>60,Male,Major Illness/Disability,5,50,Responsibility and Carefulness;Communication skills,30tr - 50tr
teresa1309,<25,Female,Losing a Job,5,50,Patience;Responsibility and Carefulness,> 50tr
sheri6189,25-30,Female,Losing a Job,5,15,Patience;Communication skills,30tr - 50tr
bryan7063,30-45,Male,Major Illness/Disability,4,6,Loving and caring nature;Patience;Responsibility and Carefulness,> 50tr
charlene1139,>60,Female,Starting a Career,2,6,Responsibility and Carefulness;Patience;Loving and caring nature,> 50tr
jessica7683,50-60,Male,Starting a Career,3,24,Patience;Responsibility and Carefulness;Loving and caring nature,> 50tr
cynthia2173,<25,Female,Losing a Job,1,3,Loving and caring nature;Communication skills,> 50tr
eileen6003,50-60,Male,Losing a Job,1,5,Patience;Communication skills,< 10tr
susan5364,>60,Female,Losing a Job,4,24,Responsibility and Carefulness;Loving and caring nature;Patience,> 50tr
abigail9069,30-45,Female,Major Illness/Disability,3,17,Patience;Communication skills;Loving and caring nature,30tr - 50tr
jennifer2672,>60,Female,Getting Married,0,11,Responsibility and Carefulness;Communication skills;Patience,10tr - 30tr
shelby4713,50-60,Male,Retirement,0,32,Patience;Communication skills;Loving and caring nature,30tr - 50tr
randy1224,50-60,Male,Losing a Job,3,12,Loving and caring nature;Communication skills;Patience,> 50tr
annette2521,>60,Male,Retirement,5,48,Responsibility and Carefulness;Communication skills;Patience,> 50tr
benjamin7624,>60,Female,Getting Married,3,42,Patience;Loving and caring nature;Responsibility and Carefulness,30tr - 50tr
debra4435,<25,Female,Major Illness/Disability,2,2,Patience;Communication skills;Loving and caring nature,> 50tr
kelly9014,<25,Female,Major Illness/Disability,0,46,Patience;Communication skills;Loving and caring nature,30tr - 50tr
alexander1473,<25,Male,Losing a Job,1,22,Communication skills;Patience,> 50tr
kevin2369,30-45,Male,Getting Married,0,7,Responsibility and Carefulness;Patience;Loving and caring nature,> 50tr
allison3754,>60,Female,Losing a Job,2,20,Responsibility and Carefulness;Loving and caring nature;Patience,> 50tr
kenneth6311,30-45,Male,Losing a Job,4,31,Responsibility and Carefulness;Communication skills;Loving and caring nature,> 50tr
justin5960,<25,Female,Major Illness/Disability,2,23,Patience;Communication skills,30tr - 50tr
anna1721,>60,Female,Getting Married,5,18,Patience;Responsibility and Carefulness,> 50tr
amanda4215,30-45,Male,Starting a Career,2,10,Patience;Responsibility and Carefulness;Loving and caring nature,10tr - 30tr
wanda8370,>60,Female,Losing a Job,3,35,Loving and caring nature;Communication skills;Patience,10tr - 30tr
jennifer4371,50-60,Female,Retirement,5,29,Loving and caring nature;Patience;Communication skills,< 10tr
jose2770,>60,Female,Getting Married,1,49,Responsibility and Carefulness;Patience,> 50tr
dennis5932,<25,Male,Losing a Job,3,45,Communication skills;Loving and caring nature;Patience,> 50tr
amber4972,<25,Male,Starting a Career,1,15,Loving and caring nature;Patience,10tr - 30tr
ashley6781,<25,Male,Retirement,5,23,Loving and caring nature;Responsibility and Carefulness;Patience,30tr - 50tr
mary3702,<25,Female,Starting a Career,0,13,Patience;Loving and caring nature;Responsibility and Carefulness,> 50tr
